1,Sheffield United F.C.,28,"£2,964,000","£1,612,000","£4,472,000","£1,300,000","£51,150,000","£10,348,000"
2,Leeds United F.C.,28,"£3,692,000","£3,523,000","£2,501,000","£1,670,000","£96,250,000","£11,386,000"
3,West Bromwich Albion F.C.,29,"£7,852,000","£3,978,000","£6,864,000","£1,976,000","£17,270,000","£20,670,000"
4,Fulham F.C.,28,"£3,770,000","£13,752,024","£4,726,800","£2,340,000","£29,430,000","£24,588,824"
5,Brighton & Hove Albion,30,"£4,940,000","£12,740,000","£4,472,000","£3,069,333","£6,105,000","£25,221,333"
6,Burnley F.C.,22,"£8,580,000","£7,436,000","£10,556,000","£1,820,000","£1,210,000","£28,392,000"
7,Newcastle United F.C.,28,"£8,840,000","£8,857,000","£13,520,000","£3,276,000","£42,630,000","£34,493,000"
8,Wolverhampton Wanderers F.C.,24,"£17,532,000","£12,480,000","£4,871,000","£5,200,000","£89,980,000","£40,083,000"
9,Aston Villa F.C.,27,"£5,720,000","£17,939,396","£13,936,000","£3,417,000","£70,350,000","£41,012,396"
10,West Ham United F.C.,24,"£16,120,000","£6,656,000","£15,964,000","£3,380,000","£24,420,000","£42,120,000"
11,Southampton F.C.,26,"£14,560,000","£8,320,000","£11,336,000","£8,320,000","£44,330,000","£42,536,000"
12,Leicester City,29,"£16,900,000","£21,972,000","£16,952,000","£8,996,000","£61,600,000","£64,820,000"
13,Everton F.C.,33,"£18,980,000","£21,851,000","£20,020,000","£6,656,000","£110,770,000","£67,507,000"
14,Tottenham Hotspur F.C.,29,"£26,000,000","£26,000,000","£18,460,000","£6,240,000","£104,940,000","£76,700,000"
15,Crystal Palace,30,"£27,690,000","£28,392,000","£20,280,000","£5,200,000","£19,580,000","£81,562,000"
16,Liverpool F.C.,28,"£24,960,000","£40,924,000","£23,816,000","£4,680,000","£96,470,000","£94,380,000"
17,Arsenal F.C.,30,"£43,127,273","£32,080,000","£35,814,000","£5,720,000","£94,600,000","£116,741,273"
18,Manchester City F.C.,26,"£34,647,000","£55,804,000","£32,776,000","£5,720,000","£149,930,000","£128,947,000"
19,Chelsea F.C.,32,"£26,310,000","£46,070,000","£53,790,000","£9,620,000","£250,420,000","£135,790,000"
20,Manchester United F.C.,30,"£25,740,000","£56,420,000","£47,575,000","£29,900,000","£68,750,000","£159,635,000"
20,Manchester United F.C.,30,"£25,740,000","£56,420,000","£47,575,000","£29,900,000","£68,750,000","£159,635,000"
