,date,previous_home_fixture,home_team,home_team_id,away_team,away_team_id,previous_away_fixture,last_home_goals,last_away_goals,last_home_shots_on_goal,last_home_shots_off_goal,last_home_total_shots,last_home_blocked_shots,last_home_shots_insidebox,last_home_shots_outsidebox,last_home_fouls,last_home_cornerkicks,last_home_offsides,last_home_ballpossession,last_home_yellowcards,last_home_redcards,last_home_gk_saves,last_home_pass_accuracy,last_away_shots_on_goal,last_away_shots_off_goal,last_away_total_shots,last_away_blocked_shots,last_away_shots_insidebox,last_away_shots_outsidebox,last_away_fouls,last_away_cornerkicks,last_away_offsides,last_away_ballpossession,last_away_yellowcards,last_away_redcards,last_away_gk_saves,last_away_pass_accuracy,result
1062,2018-04-17T18:45:00+00:00,11584,Brighton,51,Tottenham,47,11581,2,1,3.0,6.0,12.0,3.0,10.0,2.0,16.0,6.0,1.0,0.5,2.0,0.0,4.0,0.7175792507204611,3.0,1.0,8.0,4.0,4.0,4.0,11.0,5.0,5.0,0.48,3.0,0.0,3.0,0.7995689655172413,0.0
1082,2018-05-04T19:00:00+00:00,11562,Brighton,51,Manchester United,33,11559,0,2,1.0,4.0,9.0,4.0,7.0,2.0,17.0,4.0,3.0,0.56,2.0,0.0,4.0,0.7523148148148148,3.0,6.0,16.0,7.0,10.0,6.0,12.0,9.0,2.0,0.59,0.0,0.0,2.0,0.8916256157635468,1.0
1116,2018-08-19T15:00:00+00:00,70,Brighton,51,Manchester United,33,65,0,2,0.0,5.0,6.0,1.0,5.0,1.0,16.0,2.0,3.0,0.47,2.0,0.0,3.0,0.7714285714285715,6.0,1.0,8.0,1.0,5.0,3.0,11.0,2.0,4.0,0.46,2.0,0.0,3.0,0.822680412371134,1.0
1132,2018-09-01T14:00:00+00:00,91,Brighton,51,Fulham,36,88,0,4,2.0,2.0,6.0,2.0,4.0,2.0,14.0,5.0,3.0,0.3,1.0,0.0,6.0,0.7278287461773699,12.0,10.0,25.0,3.0,8.0,17.0,11.0,6.0,1.0,0.63,2.0,0.0,0.0,0.8531468531468531,0.0
1155,2018-09-22T16:30:00+00:00,114,Brighton,51,Tottenham,47,105,2,1,4.0,5.0,12.0,3.0,8.0,4.0,13.0,4.0,2.0,0.49,3.0,0.0,2.0,0.7624434389140271,3.0,5.0,11.0,3.0,7.0,4.0,17.0,5.0,3.0,0.6,0.0,0.0,8.0,0.8069216757741348,-1.0
1168,2018-10-05T19:00:00+00:00,129,Brighton,51,West Ham,48,125,0,3,1.0,1.0,4.0,2.0,4.0,0.0,10.0,3.0,2.0,0.2,3.0,0.0,6.0,0.6523809523809524,3.0,4.0,8.0,1.0,5.0,3.0,12.0,4.0,2.0,0.49,0.0,0.0,3.0,0.8219780219780219,1.0
1192,2018-10-27T14:00:00+00:00,152,Brighton,51,Wolves,39,154,1,0,2.0,4.0,8.0,2.0,5.0,3.0,17.0,2.0,1.0,0.32,2.0,0.0,6.0,0.611336032388664,1.0,6.0,10.0,3.0,4.0,6.0,23.0,8.0,2.0,0.44,3.0,0.0,1.0,0.7738095238095238,1.0
1222,2018-11-24T15:00:00+00:00,176,Brighton,51,Leicester,46,180,1,0,3.0,2.0,7.0,2.0,4.0,3.0,21.0,1.0,0.0,0.4,1.0,1.0,3.0,0.6412698412698413,5.0,9.0,22.0,8.0,13.0,9.0,13.0,12.0,1.0,0.63,2.0,0.0,1.0,0.7870563674321504,0.0
1239,2018-12-04T19:45:00+00:00,199,Brighton,51,Crystal Palace,52,198,2,2,6.0,3.0,14.0,5.0,7.0,7.0,12.0,6.0,4.0,0.68,2.0,0.0,1.0,0.8415492957746479,9.0,11.0,29.0,9.0,17.0,12.0,9.0,10.0,1.0,0.58,1.0,0.0,0.0,0.8011583011583011,1.0
1266,2018-12-16T13:30:00+00:00,217,Brighton,51,Chelsea,49,219,0,2,1.0,12.0,14.0,1.0,8.0,6.0,11.0,7.0,1.0,0.63,0.0,0.0,3.0,0.7514563106796116,5.0,1.0,8.0,2.0,5.0,3.0,12.0,1.0,1.0,0.38,2.0,0.0,4.0,0.8146341463414634,-1.0
